,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,2778263.0,7291.470795035362,1803,2276,0.7921792618629174,1.4770480692432646,19.136253966904363,175.79883968923218,176.30989698155497,153.86907460225603,54.21489471680691,47.36724281021951,74.5755410542133,8.432584896252674,0.9984641671863417,0.4089103888895318,9.817309946835552
0,4898984.0,9803.136003136635,2333,3222,0.7240844196151459,1.534384680578667,19.61661346434153,160.65048568134816,164.74434304007096,129.2867360389372,68.4588056538187,60.56137560436373,91.71328976272184,6.3077125946723065,0.9992836719936,0.44003474473039256,9.677328013783345
0,3867310.0,8757.05273425579,1951,3172,0.6150693568726355,1.6002265140368888,19.82927993632184,169.59870359216217,172.07067008902325,142.19350036021353,62.671952251422496,55.158165502003875,85.12230520889428,7.36568138009352,0.9990010475506367,0.43085760444105514,9.83712763105473
0,3676451.5,8348.976621389389,2375,2433,0.9761611179613646,1.5717261604022248,18.959970130030705,173.94817493451856,176.02613237617578,147.23168266631498,63.24127098973274,55.848312788208,85.43192549358383,7.4209016048689245,0.9990136636040663,0.4354796256831667,9.704510628760897
0,3864378.5,8705.39884865284,2017,2859,0.7054914305701294,1.4922459070714735,19.610907449704058,164.44876011747291,166.20411525914378,136.41007103555157,58.01365546332818,49.743398626452155,80.9412460886319,8.190034964459748,0.9986782984218516,0.4040972416277761,9.666182151464813
0,4113554.5,8745.01111805439,2285,2838,0.8051444679351656,1.5764541347391896,18.591031054747152,166.8834117896773,169.9698111208218,138.98839295556186,62.107768465759335,54.42173905682845,86.66930263337655,7.407627562671467,0.9989812656411876,0.4222893019715252,9.757460893423723
0,4259336.5,8786.402155637741,2432,2852,0.85273492286115,1.6284376686368875,18.12509127668019,169.96655902909004,171.8705367804915,138.19907005529836,66.22670488956685,57.41592105104843,87.76179817122443,7.622825562746495,0.9990522735177316,0.41837896484354103,9.806888790550468
0,3227392.5,7831.821086525917,2527,1938,1.303921568627451,1.5174249800729227,19.005256265344855,174.80434286947803,175.00890552498007,149.18353010571514,58.42669646061391,50.587230779780064,79.48393430485508,9.668170085290148,0.9984656231614776,0.4015984774775826,9.763661882583929
0,4484687.0,9431.243643522263,2065,3249,0.6355801785164666,1.4960207925324553,19.833793676900772,162.5123180396773,164.81989331708763,130.5730513366612,64.94195672147961,56.434097683068636,86.36204601719128,7.305533297977818,0.9990579798886412,0.420967620140272,9.947365011439263
0,3959517.0,8504.733979225159,2079,2821,0.7369727047146402,1.481205662205769,18.267505874425343,169.87558542900186,171.51795794031347,139.80719644628684,64.24588312419984,55.94951619309059,84.90355139812726,6.9444959050220385,0.9990856244750268,0.43943571690441635,9.726027457303367
